Anger,-0.43,0.67,0.34
Joy,0.76,0.48,0.35
Surprise,0.4,0.67,-0.13
Disgust,-0.6,0.35,0.11
Fear,-0.64,0.6,-0.43
Sadness,-0.63,0.27,-0.33
